id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000b3e6,2002-04-30 02:58:21.110000+00:00,2.9,mblg,0.0,29.169,-14.642,320.321,1136.542
usp000b3f2,2002-04-30 16:01:38.590000+00:00,2.9,mblg,0.0,28.088,-16.192,174.167,617.967
usp000b41u,2002-05-10 01:14:03.960000+00:00,2.6,mblg,24.7,28.14,-16.153,175.913,881.654
usp000b4hb,2002-05-18 02:25:14.180000+00:00,2.8,mblg,0.0,28.136,-16.246,167.388,666.384
usp000b4up,2002-05-23 15:13:23.750000+00:00,2.9,mblg,0.0,29.156,-14.458,337.691,1198.173
usp000b5hv,2002-06-04 23:12:36.440000+00:00,3.0,mblg,0.0,28.042,-16.162,178.728,565.189
usp000b62m,2002-06-13 05:17:19.430000+00:00,3.4,mblg,10.0,32.262,-16.657,422.457,842.913
usp000b6ng,2002-06-21 14:51:10.620000+00:00,3.3,mblg,0.0,28.09,-16.155,177.511,397.397
usp000b6p5,2002-06-21 22:29:20.310000+00:00,2.8,mblg,28.0,28.027,-15.762,216.322,861.192
usp000b6um,2002-06-24 11:48:05.770000+00:00,2.7,mblg,4.0,28.15,-16.14,176.793,789.706
usp000b7x4,2002-07-11 07:30:16.770000+00:00,3.1,mblg,0.0,27.991,-16.129,183.854,518.171
usp000b8uv,2002-07-26 23:43:52.910000+00:00,2.0,mblg,13.0,28.11,-16.159,176.406,1764.064
usp000b8vu,2002-07-27 14:50:42.800000+00:00,2.4,mblg,24.6,28.004,-16.782,126.088,795.559
usp000bbz6,2002-09-11 09:14:33.290000+00:00,2.3,mblg,0.0,28.086,-16.175,175.812,1244.653
usp000bc58,2002-09-13 13:57:23.720000+00:00,2.5,mblg,32.5,28.145,-16.36,156.497,880.048
usp000bctb,2002-09-21 10:46:11.390000+00:00,2.5,mblg,0.0,28.08,-16.172,176.317,991.504
usp000bcth,2002-09-21 12:07:37.520000+00:00,2.5,mblg,0.0,28.171,-16.163,173.948,978.183
usp000bdsq,2002-10-04 13:49:05.850000+00:00,2.8,mblg,22.3,28.02,-16.182,177.809,707.869
usp000be1v,2002-10-08 09:33:49.450000+00:00,2.5,mblg,0.0,28.112,-16.188,173.642,976.46
usp000bfj1,2002-10-28 19:19:41.170000+00:00,2.8,mblg,0.0,28.186,-16.129,176.676,703.361
usp000bft5,2002-11-01 10:51:47.490000+00:00,2.5,mblg,6.6,28.108,-16.205,172.214,968.428
usp000bhbe,2002-11-10 17:07:17.480000+00:00,2.6,mblg,0.0,28.129,-16.143,177.225,888.227
usp000bj9b,2002-11-24 05:35:02.690000+00:00,3.1,mblg,0.0,28.155,-16.148,175.878,495.691
usp000bky8,2002-12-18 21:47:56.350000+00:00,2.8,mblg,0.0,28.174,-16.142,175.826,699.977
usp000bm7u,2002-12-23 03:51:21.010000+00:00,2.9,mblg,1.6,28.721,-16.291,154.376,547.748
usp000bp06,2003-01-22 18:37:12.570000+00:00,3.0,mblg,0.0,28.048,-16.159,178.763,565.297
usp000bp3b,2003-01-24 05:06:14.930000+00:00,2.1,mblg,26.4,28.069,-16.136,180.059,1604.773
usp000bppd,2003-01-31 08:30:31.230000+00:00,3.3,mblg,0.0,28.142,-16.181,173.23,387.813
usp000bpuw,2003-02-02 16:17:40.030000+00:00,3.0,mblg,0.0,28.108,-16.247,168.33,532.307
usp000bq2t,2003-02-06 05:41:34.940000+00:00,2.6,mblg,8.9,28.141,-16.188,172.611,865.103
usp000bq33,2003-02-06 09:56:29.240000+00:00,2.1,mblg,21.7,28.339,-16.281,158.136,1409.385
usp000bq44,2003-02-06 18:58:46.060000+00:00,2.9,mblg,0.0,28.067,-16.095,183.921,652.578
usp000bq8t,2003-02-08 15:13:24.440000+00:00,2.8,mblg,0.0,28.091,-16.13,179.789,715.754
usp000bq9s,2003-02-09 00:47:51.380000+00:00,2.8,mblg,27.0,28.052,-16.132,181.084,720.91
usp000bqat,2003-02-09 13:20:50.170000+00:00,2.9,mblg,25.8,28.064,-16.126,181.172,642.823
usp000bqba,2003-02-09 19:00:24.300000+00:00,2.0,mblg,33.3,28.065,-16.141,179.751,1797.509
